Annual government expenditure by function (COFOG),,,,,,,,,,
Institutional sector: Central government,,,,,,,,,,
Accounting entry: Expenditure,,,,,,,,,,
Transaction: Total government expenditure,,,,,,,,,,
Valuation: Standard valuation based on SNA/ESA,,,,,,,,,,
,,,,,,,,,,
Time period,Time period,2014,2015,2016,2017,2018,2019,2020,2021,2022
·  Health,,"10.226,75","10.438,27","10.684,45","11.520,15","12.472,60","13.083,34","13.987,80","15.336,78","P   16.123,24"
·  Education,,"7.703,27","7.695,63","7.438,29","7.522,27","7.586,32","7.989,01","7.899,58","8.308,46","P   8.575,64"
Reference area: Spain,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Euro",,,,,,,,,,
Total,,"228.251,00","225.078,00","220.599,00","219.704,00","230.689,00","235.507,00","280.791,00","307.834,00","P   319.132,00"
·  Defence,,"8.950,00","10.416,00","10.888,00","10.374,00","10.283,00","10.537,00","10.548,00","11.716,00","P   15.344,00"
·  ·  Military defence,,"7.820,00","8.938,00","9.455,00","9.024,00","8.893,00","9.248,00","9.234,00","10.103,00","P   13.377,00"
·  ·  Civil defence,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","P   0,00"
·  ·  Foreign military aid,,"896,00","1.128,00","1.096,00","1.117,00","1.122,00","1.051,00","1.059,00","1.374,00","P   1.541,00"
·  ·  R&D Defence,,"234,00","350,00","337,00","233,00","268,00","238,00","255,00","239,00","P   426,00"
·  ·  Defence n.e.c.,,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","P   0,00"
·  Health,,"2.744,00","2.747,00","2.836,00","2.763,00","2.878,00","2.879,00","3.628,00","3.143,00","P   4.235,00"
·  Education,,"1.697,00","1.661,00","1.649,00","1.682,00","1.704,00","1.704,00","1.809,00","2.242,00","P   2.444,00"
Reference area: Sweden,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Swedish krona",,,,,,,,,,
Total,,"1.229.698,00","1.272.671,00","1.306.275,00","1.356.338,00","1.424.784,00","1.469.622,00","1.652.104,00","1.697.384,00","1.795.022,00"
·  Defence,,"51.833,00","51.883,00","53.463,00","55.230,00","59.258,00","62.307,00","68.148,00","70.966,00","96.197,00"
·  ·  Military defence,,"44.910,00","45.733,00","46.988,00","48.404,00","51.656,00","53.355,00","57.705,00","61.934,00","83.378,00"
·  ·  Civil defence,,"2.156,00","1.900,00","2.032,00","2.128,00","2.462,00","2.823,00","2.917,00","2.974,00","3.944,00"
·  ·  Foreign military aid,,"2.714,00","2.160,00","2.571,00","2.716,00","2.941,00","3.986,00","5.335,00","4.184,00","6.845,00"
·  ·  R&D Defence,,"1.813,00","1.833,00","1.843,00","1.949,00","2.158,00","2.101,00","2.136,00","1.822,00","1.973,00"
·  ·  Defence n.e.c.,,"240,00","257,00","29,00","33,00","41,00","42,00","55,00","52,00","57,00"
·  Health,,"47.567,00","49.627,00","52.271,00","54.415,00","63.677,00","68.069,00","91.889,00","122.339,00","100.504,00"
·  Education,,"68.424,00","72.337,00","78.304,00","82.121,00","89.993,00","96.774,00","101.436,00","109.039,00","112.316,00"
Reference area: United Kingdom,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, Pound sterling",,,,,,,,,,
Total,,"745.753,00","751.387,00","758.707,00","782.631,00","805.843,00","831.535,00","1.031.088,00","1.028.491,00","1.082.317,00"
·  Defence,,"39.159,00","38.201,00","37.770,00","38.788,00","39.582,00","44.076,00","45.335,00","48.975,00","53.401,00"
·  ·  Military defence,,"33.959,00","34.773,00","34.827,00","36.039,00","36.778,00","41.247,00","42.455,00","44.746,00","47.374,00"
·  ·  Civil defence,,"68,00","67,00","75,00","130,00","19,00","0,00","0,00","0,00","0,00"
·  ·  Foreign military aid,,"919,00","274,00","450,00","725,00","838,00","438,00","517,00","610,00","1.660,00"
·  ·  R&D Defence,,"3.979,00","2.836,00","2.186,00","1.719,00","1.745,00","2.162,00","2.138,00","3.402,00","4.153,00"
·  ·  Defence n.e.c.,,"234,00","251,00","232,00","175,00","202,00","229,00","225,00","217,00","214,00"
·  Health,,"138.819,00","144.797,00","149.485,00","153.710,00","161.353,00","170.519,00","211.612,00","226.202,00","224.910,00"
·  Education,,"85.170,00","85.391,00","86.625,00","88.294,00","90.852,00","94.015,00","99.870,00","106.031,00","109.855,00"
Reference area: United States,,,,,,,,,,
"Combined unit of measure: National currency, Current prices, Millions, US dollar",,,,,,,,,,
Total,,"4.011.876,00","4.100.097,00","4.250.338,00","4.389.157,00","4.643.974,00","4.929.732,00","6.876.963,00","7.398.853,00","6.308.093,00"
·  Defence,,"610.468,00","598.709,00","598.794,00","616.332,00","660.743,00","714.862,00","745.211,00","752.863,00","775.036,00"
·  Health,,"1.107.939,00","1.200.277,00","1.260.280,00","1.306.433,00","1.386.225,00","1.489.337,00","1.718.837,00","1.838.546,00","1.980.507,00"
·  Education,,"107.653,00","106.767,00","103.745,00","102.492,00","104.627,00","102.954,00","116.400,00","168.947,00","178.312,00"
